3.25, crypto_hash/sha512/openssl  gcc-9
3.33, crypto_hash/sha512/openssl  clang
3.35, crypto_hash/sha512/openssl  gcc
4.72, crypto_hash/sha512/sphlib  gcc-9
4.84, crypto_hash/sha512/sphlib  gcc
4.85, crypto_hash/sha512/sphlib-small  gcc-9
5.22, crypto_hash/sha512/sphlib-small  clang
5.46, crypto_hash/sha512/sphlib  clang
5.48, crypto_hash/sha512/hacl_star/vec32  gcc
5.76, crypto_hash/sha512/sphlib-small  gcc
6.63, crypto_hash/sha512/hacl_star/vec32  gcc-9
7.33, crypto_hash/sha512/hacl_star/vec32  clang
9.03, crypto_hash/sha512/hacl_star/vec256  gcc
9.61, crypto_hash/sha512/hacl_star/vec256  clang
10.52, crypto_hash/sha512/hacl_star/vec256  gcc-9
